[2022-06-14-08-39-12] induction: have people, enter card insert event
[2022-06-14-08-39-12] card in
[2022-06-14-08-39-12] mc action, enter card insert scene:day
[2022-06-14-08-39-12] 485 induc,id:61,sta:1
[2022-06-14-08-39-13] 485 induc,id:61,sta:1
[2022-06-14-08-39-13] 485 induc,id:6a,sta:1
[2022-06-14-08-39-13] 485 induc,id:6a,sta:1
[2022-06-14-08-39-18] 485 induc,id:60,sta:1
[2022-06-14-08-39-18] 485 induc,id:60,sta:1
[2022-06-14-08-39-19] 485 induc,id:60,sta:1
[2022-06-14-08-39-20] 485 induc,id:6a,sta:0
[2022-06-14-08-39-20] 485 induc,id:6a,sta:0
[2022-06-14-08-39-21] 485 induc,id:6a,sta:0
[2022-06-14-08-39-33] 485 induc,id:6a,sta:1
[2022-06-14-08-39-33] 485 induc,id:6a,sta:1
[2022-06-14-08-39-56] 485 induc,id:6a,sta:0
[2022-06-14-08-39-56] 485 induc,id:6a,sta:0
[2022-06-14-08-39-56] 485 induc,id:6a,sta:0
[2022-06-14-08-40-08] 485 induc,id:6a,sta:1
[2022-06-14-08-40-09] 485 induc,id:6a,sta:1
[2022-06-14-08-40-09] 485 induc,id:6a,sta:1
[2022-06-14-08-40-15] 485 induc,id:6a,sta:0
[2022-06-14-08-40-16] 485 induc,id:6a,sta:0
[2022-06-14-08-41-21] 485 induc,id:60,sta:0
[2022-06-14-08-41-22] 485 induc,id:60,sta:0
[2022-06-14-08-44-16] 485 induc,id:6a,sta:1
[2022-06-14-08-44-16] 485 induc,id:6a,sta:1
[2022-06-14-08-44-16] 485 induc,id:6a,sta:1
[2022-06-14-08-44-22] 485 induc,id:60,sta:1
[2022-06-14-08-44-22] 485 induc,id:60,sta:1
[2022-06-14-08-44-23] 485 induc,id:60,sta:1
[2022-06-14-08-44-49] 485 induc,id:6a,sta:0
[2022-06-14-08-44-49] 485 induc,id:6a,sta:0
[2022-06-14-08-44-49] 485 induc,id:6a,sta:0
[2022-06-14-08-44-55] 485 induc,id:6a,sta:1
[2022-06-14-08-44-56] 485 induc,id:6a,sta:1
[2022-06-14-08-44-56] 485 induc,id:6a,sta:1
[2022-06-14-08-45-02] 485 induc,id:6a,sta:0
[2022-06-14-08-45-03] 485 induc,id:6a,sta:0
[2022-06-14-08-45-03] 485 induc,id:6a,sta:0
[2022-06-14-08-45-12] 485 induc,id:6a,sta:1
[2022-06-14-08-45-12] 485 induc,id:6a,sta:1
[2022-06-14-08-45-19] 485 induc,id:6a,sta:0
[2022-06-14-08-45-19] 485 induc,id:6a,sta:0
[2022-06-14-08-45-19] 485 induc,id:6a,sta:0
[2022-06-14-08-45-36] 485 induc,id:6a,sta:1
[2022-06-14-08-45-36] 485 induc,id:6a,sta:1
[2022-06-14-08-45-36] 485 induc,id:6a,sta:1
[2022-06-14-08-45-43] 485 induc,id:6a,sta:0
[2022-06-14-08-45-43] 485 induc,id:6a,sta:0
[2022-06-14-08-46-17] 485 induc,id:60,sta:0
[2022-06-14-08-46-18] 485 induc,id:60,sta:0
[2022-06-14-08-46-18] 485 induc,id:60,sta:0
[2022-06-14-08-49-07] 485 induc,id:6a,sta:1
[2022-06-14-08-49-07] 485 induc,id:6a,sta:1
[2022-06-14-08-49-14] 485 induc,id:6a,sta:0
[2022-06-14-08-49-14] 485 induc,id:6a,sta:0
[2022-06-14-08-49-15] 485 induc,id:6a,sta:0
[2022-06-14-08-52-40] 485 induc,id:60,sta:1
[2022-06-14-08-52-41] 485 induc,id:60,sta:1
[2022-06-14-08-52-42] 485 induc,id:6a,sta:1
[2022-06-14-08-52-42] 485 induc,id:6a,sta:1
[2022-06-14-08-52-49] 485 induc,id:6a,sta:0
[2022-06-14-08-52-50] 485 induc,id:6a,sta:0
[2022-06-14-08-52-50] 485 induc,id:6a,sta:0
[2022-06-14-08-53-47] 485 induc,id:6a,sta:1
[2022-06-14-08-53-47] 485 induc,id:6a,sta:1
[2022-06-14-08-53-47] 485 induc,id:6a,sta:1
[2022-06-14-08-54-00] 485 induc,id:6a,sta:0
[2022-06-14-08-54-00] 485 induc,id:6a,sta:0
[2022-06-14-08-54-00] 485 induc,id:6a,sta:0
[2022-06-14-08-54-46] 485 induc,id:6a,sta:1
[2022-06-14-08-54-46] 485 induc,id:6a,sta:1
[2022-06-14-08-54-46] 485 induc,id:6a,sta:1
[2022-06-14-08-55-06] mc close
[2022-06-14-08-55-20] 485 induc,id:6a,sta:0
[2022-06-14-08-55-21] 485 induc,id:6a,sta:0
[2022-06-14-08-55-21] 485 induc,id:6a,sta:0
[2022-06-14-08-55-27] 485 induc,id:6a,sta:1
[2022-06-14-08-55-27] 485 induc,id:6a,sta:1
[2022-06-14-08-55-27] 485 induc,id:6a,sta:1
[2022-06-14-08-55-34] pir lock state
[2022-06-14-08-55-34] 485 induc,id:6a,sta:0
[2022-06-14-08-55-34] 485 induc,id:6a,sta:0
[2022-06-14-08-55-42] 485 induc,id:6a,sta:1
[2022-06-14-08-55-42] 485 induc,id:6a,sta:1
[2022-06-14-08-55-43] 485 induc,id:6a,sta:1
[2022-06-14-08-55-49] 485 induc,id:60,sta:0
[2022-06-14-08-55-50] 485 induc,id:60,sta:0
[2022-06-14-08-55-50] 485 induc,id:60,sta:0
[2022-06-14-08-55-55] 485 induc,id:6a,sta:0
[2022-06-14-08-55-55] 485 induc,id:6a,sta:0
[2022-06-14-08-55-55] 485 induc,id:6a,sta:0
[2022-06-14-08-56-02] 485 induc,id:6a,sta:1
[2022-06-14-08-56-03] 485 induc,id:6a,sta:1
[2022-06-14-08-56-14] 485 induc,id:6a,sta:0
[2022-06-14-08-56-15] 485 induc,id:6a,sta:0
[2022-06-14-08-56-15] 485 induc,id:6a,sta:0
[2022-06-14-08-56-27] 485 induc,id:6a,sta:1
[2022-06-14-08-56-27] 485 induc,id:6a,sta:1
[2022-06-14-08-56-27] 485 induc,id:6a,sta:1
[2022-06-14-08-56-34] 485 induc,id:6a,sta:0
[2022-06-14-08-56-34] 485 induc,id:6a,sta:0
[2022-06-14-08-56-34] 485 induc,id:6a,sta:0
[2022-06-14-08-56-58] 485 induc,id:6a,sta:1
[2022-06-14-08-56-58] 485 induc,id:6a,sta:1
[2022-06-14-08-56-58] 485 induc,id:6a,sta:1
[2022-06-14-08-57-05] 485 induc,id:6a,sta:0
[2022-06-14-08-57-05] 485 induc,id:6a,sta:0
[2022-06-14-08-58-49] 485 induc,id:6a,sta:1
[2022-06-14-08-58-49] 485 induc,id:6a,sta:1
[2022-06-14-08-59-12] 485 induc,id:6a,sta:0
[2022-06-14-08-59-12] 485 induc,id:6a,sta:0
[2022-06-14-08-59-12] 485 induc,id:6a,sta:0
[2022-06-14-08-59-20] 485 induc,id:6a,sta:1
[2022-06-14-08-59-20] 485 induc,id:6a,sta:1
[2022-06-14-08-59-31] 485 induc,id:6a,sta:0
[2022-06-14-08-59-32] 485 induc,id:6a,sta:0
[2022-06-14-08-59-32] 485 induc,id:6a,sta:0
[2022-06-14-08-59-39] 485 induc,id:6a,sta:1
[2022-06-14-08-59-40] 485 induc,id:6a,sta:1
[2022-06-14-08-59-40] 485 induc,id:6a,sta:1
[2022-06-14-08-59-47] 485 induc,id:6a,sta:0
[2022-06-14-08-59-47] 485 induc,id:6a,sta:0
[2022-06-14-08-59-55] 485 induc,id:6a,sta:1
[2022-06-14-08-59-55] 485 induc,id:6a,sta:1
[2022-06-14-08-59-56] 485 induc,id:6a,sta:1
[2022-06-14-09-00-02] 485 induc,id:6a,sta:0
[2022-06-14-09-00-03] 485 induc,id:6a,sta:0
[2022-06-14-09-00-03] 485 induc,id:6a,sta:0
[2022-06-14-09-00-11] 485 induc,id:6a,sta:1
[2022-06-14-09-00-11] 485 induc,id:6a,sta:1
[2022-06-14-09-00-15] 485 induc,id:60,sta:1
[2022-06-14-09-00-15] 485 induc,id:60,sta:1
[2022-06-14-09-00-22] mc open
[2022-06-14-09-00-48] 485 induc,id:6a,sta:0
[2022-06-14-09-00-48] 485 induc,id:6a,sta:0
[2022-06-14-09-00-48] 485 induc,id:6a,sta:0
[2022-06-14-09-01-24] 485 induc,id:6a,sta:1
[2022-06-14-09-01-24] 485 induc,id:6a,sta:1
[2022-06-14-09-01-24] 485 induc,id:6a,sta:1
[2022-06-14-09-01-42] 485 induc,id:6a,sta:0
[2022-06-14-09-01-42] 485 induc,id:6a,sta:0
[2022-06-14-09-01-42] 485 induc,id:6a,sta:0
[2022-06-14-09-01-47] 485 induc,id:6a,sta:1
[2022-06-14-09-01-47] 485 induc,id:6a,sta:1
[2022-06-14-09-02-21] 485 induc,id:6a,sta:0
[2022-06-14-09-02-21] 485 induc,id:6a,sta:0
[2022-06-14-09-02-21] 485 induc,id:6a,sta:0
[2022-06-14-09-03-07] 485 induc,id:6a,sta:1
[2022-06-14-09-03-07] 485 induc,id:6a,sta:1
[2022-06-14-09-03-08] 485 induc,id:6a,sta:1
[2022-06-14-09-03-51] 485 induc,id:6a,sta:0
[2022-06-14-09-03-51] 485 induc,id:6a,sta:0
[2022-06-14-09-03-51] 485 induc,id:6a,sta:0
[2022-06-14-09-03-56] 485 induc,id:6a,sta:1
[2022-06-14-09-03-57] 485 induc,id:6a,sta:1
[2022-06-14-09-03-57] 485 induc,id:6a,sta:1
[2022-06-14-09-04-08] 485 induc,id:6a,sta:0
[2022-06-14-09-04-09] 485 induc,id:6a,sta:0
[2022-06-14-09-04-22] 485 induc,id:6a,sta:1
[2022-06-14-09-04-22] 485 induc,id:6a,sta:1
[2022-06-14-09-04-23] 485 induc,id:6a,sta:1
[2022-06-14-09-04-48] mc close
[2022-06-14-09-04-53] mc open
[2022-06-14-09-05-09] 485 induc,id:6a,sta:0
[2022-06-14-09-05-10] 485 induc,id:6a,sta:0
[2022-06-14-09-05-10] 485 induc,id:6a,sta:0
[2022-06-14-09-05-16] 485 induc,id:6a,sta:1
[2022-06-14-09-05-17] 485 induc,id:6a,sta:1
[2022-06-14-09-05-17] 485 induc,id:6a,sta:1
[2022-06-14-09-05-33] 485 induc,id:6a,sta:0
[2022-06-14-09-05-33] 485 induc,id:6a,sta:0
[2022-06-14-09-05-34] 485 induc,id:6a,sta:0
